案由	编码				
（6）农村房屋买卖合同纠纷	004001017006				
83、房屋拆迁安置补偿合同纠纷	004001018				
84、供用电合同纠纷	004001019				
85、供用水合同纠纷	004001020				
86、供用气合同纠纷	004001021				
87、供用热力合同纠纷	004001022				
88、赠与合同纠纷	004001023				
（1）公益事业捐赠合同纠纷	004001023001				
（2）附义务赠与合同纠纷	004001023002				
89、借款合同纠纷	004001024				
（1）金融借款合同纠纷	004001024001				
（2）同业拆借纠纷	004001024002				
（3）企业借贷纠纷	004001024003				
（4）民间借贷纠纷	004001024004				
（5）小额借款合同纠纷	004001024005				
（6）金融不良债权转让合同纠纷	004001024006				
（7）金融不良债权追偿纠纷	004001024007				
90、保证合同纠纷	004001025				
91、抵押合同纠纷	004001026				
92、质押合同纠纷	004001027				
93、定金合同纠纷	004001028				
94、进出口押汇纠纷	004001029				
95、储蓄存款合同纠纷	004001030				
96、银行卡纠纷	004001031				
（1）借记卡纠纷	004001031001				
（2）信用卡纠纷	004001031002				
97、租赁合同纠纷	004001032				
（1）土地租赁合同纠纷	004001032001				
（2）房屋租赁合同纠纷	004001032002				
（3）车辆租赁合同纠纷	004001032003				
（4）建筑设备租赁合同纠纷	004001032004				
98、融资租赁合同纠纷	004001033				
99、承揽合同纠纷	004001034				
（1）加工合同纠纷	004001034001				
（2）定作合同纠纷	004001034002				
（3）修理合同纠纷	004001034003				
（4）复制合同纠纷	004001034004				
（5）测试合同纠纷	004001034005				
（6）检验合同纠纷	004001034006				
（7）铁路机车、车辆建造合同纠纷	004001034007				
100、建设工程合同纠纷	004001035				
（1）建设工程勘察合同纠纷	004001035001				
（2）建设工程设计合同纠纷	004001035002				
（3）建设工程施工合同纠纷	004001035003				
（4）建设工程价款优先受偿权纠纷	004001035004				
（5）建设工程分包合同纠纷	004001035005				
（6）建设工程监理合同纠纷	004001035006				
（7）装饰装修合同纠纷	004001035007				
（8）铁路修建合同纠纷	004001035008				
（9）农村建房施工合同纠纷	004001035009				
101、运输合同纠纷	004001036				
（1）公路旅客运输合同纠纷	004001036001				
（2）公路货物运输合同纠纷	004001036002				
（3）水路旅客运输合同纠纷	004001036003				
（4）水路货物运输合同纠纷	004001036004				
（5）航空旅客运输合同纠纷	004001036005				
（6）航空货物运输合同纠纷	004001036006				
（7）出租汽车运输合同纠纷	004001036007				
（8）管道运输合同纠纷	004001036008				
（9）城市公交运输合同纠纷	004001036009				
（10）联合运输合同纠纷	004001036010				
（11）多式联运合同纠纷	004001036011				
（12）铁路货物运输合同纠纷	004001036012				
（13）铁路旅客运输合同纠纷	004001036013				
（14）铁路行李运输合同纠纷	004001036014				
（15）铁路包裹运输合同纠纷	004001036015				
（16）国际铁路联运合同纠纷	004001036016				
102、保管合同纠纷	004001037				
103、仓储合同纠纷	004001038				
104、委托合同纠纷	004001039				
（1）进出口代理合同纠纷	004001039001				
（2）货运代理合同纠纷	004001039002				
（3）民用航空运输销售代理合同纠纷	004001039003				
（4）诉讼、仲裁、人民调解代理合同纠纷	004001039004				
105、委托理财合同纠纷	004001040				
（1）金融委托理财合同纠纷	004001040001				
（2）民间委托理财合同纠纷	004001040002				
106、行纪合同纠纷	004001041				
107、居间合同纠纷	004001042				
108、补偿贸易纠纷	004001043				
109、借用合同纠纷	004001044				
110、典当纠纷	004001045				
111、合伙协议纠纷	004001046				
112、种植、养殖回收合同纠纷	004001047				
113、彩票、奖券纠纷	004001048				
114、中外合作勘探开发自然资源合同纠纷	004001049				
115、农业承包合同纠纷	004001050				
116、林业承包合同纠纷	004001051				
117、渔业承包合同纠纷	004001052				
118、牧业承包合同纠纷	004001053				
119、农村土地承包合同纠纷	004001054				
（1）土地承包经营权转包合同纠纷	004001054001				
（2）土地承包经营权转让合同纠纷	004001054002				
（3）土地承包经营权互换合同纠纷	004001054003				
（4）土地承包经营权入股合同纠纷	004001054004				
（5）土地承包经营权抵押合同纠纷	004001054005				
（6）土地承包经营权出租合同纠纷	004001054006				
120、服务合同纠纷	004001055				
（1）电信服务合同纠纷	004001055001				
（2）邮寄服务合同纠纷	004001055002				
（3）医疗服务合同纠纷	004001055003				
（4）法律服务合同纠纷	004001055004				
（5）旅游合同纠纷	004001055005				
（6）房地产咨询合同纠纷	004001055006				
（7）房地产价格评估合同纠纷	004001055007				
（8）旅店服务合同纠纷	004001055008				
（9）财会服务合同纠纷	004001055009				
（10）餐饮服务合同纠纷	004001055010				
（11）娱乐服务合同纠纷	004001055011				
（12）有线电视服务合同纠纷	004001055012				
（13）网络服务合同纠纷	004001055013				
（14）教育培训合同纠纷	004001055014				
（15）物业服务合同纠纷	004001055015				
（16）家政服务合同纠纷	004001055016				
（17）庆典服务合同纠纷	004001055017				
（18）殡葬服务合同纠纷	004001055018				
（19）农业技术服务合同纠纷	004001055019				
（20）农机作业服务合同纠纷	004001055020				
（21）保安服务合同纠纷	004001055021				
（22）银行结算合同纠纷	004001055022				
121、演出合同纠纷	004001056				
122、劳务合同纠纷	004001057				
123、离退休人员返聘合同纠纷	004001058				
124、广告合同纠纷	004001059				
125、展览合同纠纷	004001060				
126、追偿权纠纷	004001061				
127、请求确认人民调解协议效力	004001062				
十一、不当得利纠纷	004002				
128、不当得利纠纷	004002001				
十二、无因管理纠纷	004003				
129、无因管理纠纷	004003001				
第五部分 知识产权与竞争纠纷	005				
十三、知识产权合同纠纷	005001				
130、著作权合同纠纷	005001001				
（1）委托创作合同纠纷	005001001001				
（2）合作创作合同纠纷	005001001002				
（3）著作权转让合同纠纷	005001001003				
（4）著作权许可使用合同纠纷	005001001004				
（5）出版合同纠纷	005001001005				
（6）表演合同纠纷	005001001006				
（7）音像制品制作合同纠纷	005001001007				
（8）广播电视播放合同纠纷	005001001008				
（9）邻接权转让合同纠纷	005001001009				
（10）邻接权许可使用合同纠纷	005001001010				
（11）计算机软件开发合同纠纷	005001001011				
（12）计算机软件著作权转让合同纠纷	005001001012				
（13）计算机软件著作权许可使用合同纠纷	005001001013				
131、商标合同纠纷	005001002				
（1）商标权转让合同纠纷	005001002001				
（2）商标使用许可合同纠纷	005001002002				
（3）商标代理合同纠纷	005001002003				
132、专利合同纠纷	005001003				
（1）专利申请权转让合同纠纷	005001003001				
（2）专利权转让合同纠纷	005001003002				
（3）发明专利实施许可合同纠纷	005001003003				
（4）实用新型专利实施许可合同纠纷	005001003004				
（5）外观设计专利实施许可合同纠纷	005001003005				
（6）专利代理合同纠纷	005001003006				
133、植物新品种合同纠纷	005001004				
（1）植物新品种育种合同纠纷	005001004001				
（2）植物新品种申请权转让合同纠纷	005001004002				
（3）植物新品种权转让合同纠纷	005001004003				
（4）植物新品种实施许可合同纠纷	005001004004				
134、集成电路布图设计合同纠纷	005001005				
（1）集成电路布图设计创作合同纠纷	005001005001				
（2）集成电路布图设计专有权转让合同纠纷	005001005002				
（3）集成电路布图设计许可使用合同纠纷	005001005003				
135、商业秘密合同纠纷	005001006				
（1）技术秘密让与合同纠纷	005001006001				
（2）技术秘密许可使用合同纠纷	005001006002				
（3）经营秘密让与合同纠纷	005001006003				
（4）经营秘密许可使用合同纠纷	005001006004				
136、技术合同纠纷	005001007				
（1）技术委托开发合同纠纷	005001007001				
（2）技术合作开发合同纠纷	005001007002				
（3）技术转化合同纠纷	005001007003				
（4）技术转让合同纠纷	005001007004				
（5）技术咨询合同纠纷	005001007005				
（6）技术服务合同纠纷	005001007006				
（7）技术培训合同纠纷	005001007007				
（8）技术中介合同纠纷	005001007008				
（9）技术进口合同纠纷	005001007009				
（10）技术出口合同纠纷	005001007010				
（11）职务技术成果完成人奖励、报酬纠纷	005001007011				
（12）技术成果完成人署名权、荣誉权、奖励权纠纷	005001007012				
137、特许经营合同纠纷	005001008				
138、企业名称（商号）合同纠纷	005001009				
（1）企业名称（商号）转让合同纠纷	005001009001				
（2）企业名称（商号）使用合同纠纷	005001009002				
139、特殊标志合同纠纷	005001010				
140、网络域名合同纠纷	005001011				
（1）网络域名注册合同纠纷	005001011001				
（2）网络域名转让合同纠纷	005001011002				
（3）网络域名许可使用合同纠纷	005001011003				
141、知识产权质押合同纠纷	005001012				
十四、知识产权权属、侵权纠纷	005002				
142、著作权权属、侵权纠纷	005002001				
（1）著作权权属纠纷	005002001001				
（2）侵害作品发表权纠纷	005002001002				
（3）侵害作品署名权纠纷	005002001003				
（4）侵害作品修改权纠纷	005002001004				
（5）侵害保护作品完整权纠纷	005002001005				
（6）侵害作品复制权纠纷	005002001006				
（7）侵害作品发行权纠纷	005002001007				
（8）侵害作品出租权纠纷	005002001008				
（9）侵害作品展览权纠纷	005002001009				
（10）侵害作品表演权纠纷	005002001010				
（11）侵害作品放映权纠纷	005002001011				
（12）侵害作品广播权纠纷	005002001012				
（13）侵害作品信息网络传播权纠纷	005002001013				
（14）侵害作品摄制权纠纷	005002001014				
（15）侵害作品改编权纠纷	005002001015				
（16）侵害作品翻译权纠纷	005002001016				
（17）侵害作品汇编权纠纷	005002001017				
（18）侵害其他著作财产权纠纷	005002001018				
（19）出版者权权属纠纷	005002001019				
（20）表演者权权属纠纷	005002001020				
（21）录音录像制作者权权属纠纷	005002001021				
（22）广播组织权权属纠纷	005002001022				
（23）侵害出版者权纠纷	005002001023				
（24）侵害表演者权纠纷	005002001024				
（25）侵害录音录像制作者权纠纷	005002001025				
（26）侵害广播组织权纠纷	005002001026				
（27）计算机软件著作权权属纠纷	005002001027				
（28）侵害计算机软件著作权纠纷	005002001028				
143、商标权权属、侵权纠纷	005002002				
（1）商标权权属纠纷	005002002001				
（2）侵害商标权纠纷	005002002002				
144、专利权权属、侵权纠纷	005002003				
（1）专利申请权权属纠纷	005002003001				
（2）专利权权属纠纷	005002003002				
（3）侵害发明专利权纠纷	005002003003				
（4）侵害实用新型专利权纠纷	005002003004				
（5）侵害外观设计专利权纠纷	005002003005				
（6）假冒他人专利纠纷	005002003006				
（7）发明专利临时保护期使用费纠纷	005002003007				
（8）职务发明创造发明人、设计人奖励、报酬纠纷	005002003008				
（9）发明创造发明人、设计人署名权纠纷	005002003009				
145、植物新品种权权属、侵权纠纷	005002004				
（1）植物新品种申请权权属纠纷	005002004001				
（2）植物新品种权权属纠纷	005002004002				
（3）侵害植物新品种权纠纷	005002004003				
146、集成电路布图设计专有权权属、侵权纠纷	005002005				
（1）集成电路布图设计专有权权属纠纷	005002005001				
（2）侵害集成电路布图设计专有权纠纷	005002005002				
147、侵害企业名称（商号）权纠纷	005002006				
148、侵害特殊标志专有权纠纷	005002007				
149、网络域名权属、侵权纠纷	005002008				
（1）网络域名权属纠纷	005002008001				
（2）侵害网络域名纠纷	005002008002				
150、发现权纠纷	005002009				
151、发明权纠纷	005002010				
152、其他科技成果权纠纷	005002011				
153、确认不侵害知识产权纠纷	005002012				
（1）确认不侵害专利权纠纷	005002012001				
（2）确认不侵害商标权纠纷	005002012002				
（3）确认不侵害著作权纠纷	005002012003				
154、因申请知识产权临时措施损害责任纠纷	005002013				
（1）因申请诉前停止侵害专利权损害责任纠纷	005002013001				
（2）因申请诉前停止侵害注册商标专用权损害责任纠纷	005002013002				
（3）因申请诉前停止侵害著作权损害责任纠纷	005002013003				
（4）因申请诉前停止侵害植物新品种权损害责任纠纷	005002013004				
（5）因申请海关知识产权保护措施损害责任纠纷	005002013005				
155、因恶意提起知识产权诉讼损害责任纠纷	005002014				
156、专利权宣告无效后返还费用纠纷	005002015				
十五、不正当竞争纠纷	005003				
157、仿冒纠纷	005003001				
（1）擅自使用知名商品特有名称、包装、装潢纠纷	005003001001				
（2）擅自使用他人企业名称、姓名纠纷	005003001002				
（3）伪造、冒用产品质量标志纠纷	005003001003				
（4）伪造产地纠纷	005003001004				
158、商业贿赂不正当竞争纠纷	005003002				
159、虚假宣传纠纷	005003003				
160、侵害商业秘密纠纷	005003004				
（1）侵害技术秘密纠纷	005003004001				
（2）侵害经营秘密纠纷	005003004002				
161、低价倾销不正当竞争纠纷	005003005				
162、捆绑销售不正当竞争纠纷	005003006				
163、有奖销售纠纷	005003007				
164、商业诋毁纠纷	005003008				
165、串通投标不正当竞争纠纷	005003009				
十六、垄断纠纷	005004				
166、垄断协议纠纷	005004001				
（1）横向垄断协议纠纷	005004001001				
（2）纵向垄断协议纠纷	005004001002				
167、滥用市场支配地位纠纷	005004002				
（1）垄断定价纠纷	005004002001				
（2）掠夺定价纠纷	005004002002				
（3）拒绝交易纠纷	005004002003				
（4）限定交易纠纷	005004002004				
（5）捆绑交易纠纷	005004002005				
（6）差别待遇纠纷	005004002006				
168、经营者集中纠纷	005004003				
第六部分 劳动争议、人事争议	006				
